Player_Name,Gender,Country,Year,Sport,Event,Sport_Type,Gold,Silver,Bronze
Soichi Tamoi,M,Japan,1951,Athletics,"10,000 m",Single,1,0,0
Ryosuke Takasugi,M,Japan,1951,Athletics,"10,000 m",Single,0,1,0
Gurbachan Singh,M,India,1951,Athletics,"10,000 m",Single,0,0,1
Mahabir Prasad,M,India,1951,Athletics,"10,000 m walk",Single,1,0,0
Takeo Sato,M,Japan,1951,Athletics,"10,000 m walk",Single,0,1,0
Kesar Singh,M,India,1951,Athletics,"10,000 m walk",Single,0,0,1
Lavy Pinto,M,India,1951,Athletics,100 m,Single,1,0,0
Toshihiro Ohashi,M,Japan,1951,Athletics,100 m,Single,0,1,0
Tomio Hosoda,M,Japan,1951,Athletics,100 m,Single,0,0,1
Kiyoko Sugimura,F,Japan,1951,Athletics,100 m,Single,1,0,0
Roshan Mistry,F,India,1951,Athletics,100 m,Single,0,1,0
Kimiko Okamoto,F,Japan,1951,Athletics,100 m,Single,0,0,1
Ng Liang Chiang,M,Singapore,1951,Athletics,110 m hurdles,Single,1,0,0
Michitaka Kinami,M,Japan,1951,Athletics,110 m hurdles,Single,0,1,0
Lloyd Valberg,M,Singapore,1951,Athletics,110 m hurdles,Single,0,0,1
Nikka Singh,M,India,1951,Athletics,1500 m,Single,1,0,0
Susumu Takahashi,M,Japan,1951,Athletics,1500 m,Single,0,1,0
Kikuo Moriya,M,Japan,1951,Athletics,1500 m,Single,0,0,1
Lavy Pinto,M,India,1951,Athletics,200 m,Single,1,0,0
M. Gabriel,M,India,1951,Athletics,200 m,Single,0,1,0
Tomio Hosoda,M,Japan,1951,Athletics,200 m,Single,0,0,1
Kimiko Okamoto,F,Japan,1951,Athletics,200 m,Single,1,0,0
Laura Dowdswell,F,Singapore,1951,Athletics,200 m,Single,0,1,0
Mary D'Souza,F,India,1951,Athletics,200 m,Single,0,0,1
Susumu Takahashi,M,Japan,1951,Athletics,3000 m steeplechase,Single,1,0,0
Ali Baghbanbashi,M,Iran,1951,Athletics,3000 m steeplechase,Single,0,1,0
