Name,Gender,Country,Year,Host_City,Sport,Event,Sport_Type,Gold,Silver,Bronze
Takashi Ono,M,Japan,1952,Helsinki,Gymnastics,Gymnastics Men's Horse Vault,Team,0,0,1
Dharam Singh Gill,M,India,1952,Helsinki,Hockey,Hockey Men's Hockey,Team,1,0,0
Randhir Singh Gentle,M,India,1952,Helsinki,Hockey,Hockey Men's Hockey,Team,1,0,0
Chinadorai Deshmutu,M,India,1952,Helsinki,Hockey,Hockey Men's Hockey,Team,1,0,0
Shiro Hashizume,M,Japan,1952,Helsinki,Swimming,"Swimming Men's 1,500 metres Freestyle",Individual,0,1,0
Keshav Chandra Dutt,M,India,1952,Helsinki,Hockey,Hockey Men's Hockey,Team,1,0,0
Hiroshi Suzuki,M,Japan,1952,Helsinki,Swimming,Swimming Men's 100 metres Freestyle,Individual,0,1,0
Kim Seong-Jip,M,South Korea,1952,Helsinki,Weightlifting,Weightlifting Men's Middleweight,Individual,0,0,1
Tofigh Jahanbakht,M,Iran,1952,Helsinki,Wrestling,"Wrestling Men's Lightweight, Freestyle",Individual,0,0,1
Khashaba Dadasaheb  Jahdav,M,India,1952,Helsinki,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Individual,0,0,1
Nasser Givehchi,M,Iran,1952,Helsinki,Wrestling,"Wrestling Men's Featherweight, Freestyle",Individual,0,1,0
Meldric St. Clair daLuz Vieira,M,India,1952,Helsinki,Hockey,Hockey Men's Hockey,Team,1,0,0
"Balbir Singh Dosanjh, Sr.",M,India,1952,Helsinki,Hockey,Hockey Men's Hockey,Team,1,0,0
Raghbir Lal Sharma,M,India,1952,Helsinki,Hockey,Hockey Men's Hockey,Team,1,0,0
Sayed Abdollah Mojtabavi,M,Iran,1952,Helsinki,Wrestling,"Wrestling Men's Welterweight, Freestyle",Individual,0,0,1
Kunwar Digvijay Singh,M,India,1952,Helsinki,Hockey,Hockey Men's Hockey,Team,1,0,0
Leslie Walter Claudius,M,India,1952,Helsinki,Hockey,Hockey Men's Hockey,Team,1,0,0
Masao Takemoto,M,Japan,1952,Helsinki,Gymnastics,Gymnastics Men's Horse Vault,Individual,0,1,0
Muniswamy Rajagopal,M,India,1952,Helsinki,Hockey,Hockey Men's Hockey,Team,1,0,0
Shohachi Ishii,M,Japan,1952,Helsinki,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Individual,1,0,0
