Player_Name,Country,Sport,Event,Sport_Type,Gold,Silver,Bronze,Year,Gender
Lavy Pinto,India,Athletics,100 m,Single,1,0,0,1951,M
Lavy Pinto,India,Athletics,200 m,Single,1,0,0,1951,M
Eitaro Okano,Japan,Athletics,400 m,Single,1,0,0,1951,M
Ranjit Singh,India,Athletics,800 m,Single,1,0,0,1951,M
Nikka Singh,India,Athletics,1500 m,Single,1,0,0,1951,M
Ali Baghbanbashi,Iran,Athletics,5000 m,Single,1,0,0,1951,M
Soichi Tamoi,Japan,Athletics,"10,000 m",Single,1,0,0,1951,M
Ng Liang Chiang,Singapore,Athletics,110 m hurdles,Single,1,0,0,1951,M
Eitaro Okano,Japan,Athletics,400 m hurdles,Single,1,0,0,1951,M
Susumu Takahashi,Japan,Athletics,3000 m steeplechase,Single,1,0,0,1951,M
Masaji Tajima,Japan,Athletics,4 × 100 m relay,Team,1,0,0,1951,M
Toshihiro Ohashi,Japan,Athletics,4 × 100 m relay,Team,1,0,0,1951,M
Tomio Hosoda,Japan,Athletics,4 × 100 m relay,Team,1,0,0,1951,M
Kazuta Ikoma,Japan,Athletics,4 × 100 m relay,Team,1,0,0,1951,M
A. S. Bakshi,India,Athletics,4 × 400 m relay,Team,1,0,0,1951,M
Govind Singh,India,Athletics,4 × 400 m relay,Team,1,0,0,1951,M
Balwant Singh,India,Athletics,4 × 400 m relay,Team,1,0,0,1951,M
Karnan Singh,India,Athletics,4 × 400 m relay,Team,1,0,0,1951,M
Chhota Singh,India,Athletics,Marathon,Single,1,0,0,1951,M
Mahabir Prasad,India,Athletics,"10,000 m walk",Single,1,0,0,1951,M
Bakhtawar Singh,India,Athletics,50 km walk,Single,1,0,0,1951,M
Andres Franco,Philippines,Athletics,High jump,Single,1,0,0,1951,M
Bunkichi Sawada,Japan,Athletics,Pole vault,Single,1,0,0,1951,M
Masaji Tajima,Japan,Athletics,Long jump,Single,1,0,0,1951,M
Yoshio Iimuro,Japan,Athletics,Triple jump,Single,1,0,0,1951,M
Madan Lal,India,Athletics,Shot put,Single,1,0,0,1951,M
Makhan Singh,India,Athletics,Discus throw,Single,1,0,0,1951,M
Fumio Kamamoto,Japan,Athletics,Hammer throw,Single,1,0,0,1951,M
Haruo Nagayasu,Japan,Athletics,Javelin throw,Single,1,0,0,1951,M
Fumio Nishiuchi,Japan,Athletics,Decathlon,Single,1,0,0,1951,M
Toshihiro Ohashi,Japan,Athletics,100 m,Single,0,1,0,1951,M
M. Gabriel,India,Athletics,200 m,Single,0,1,0,1951,M
A. S. Bakshi,India,Athletics,400 m,Single,0,1,0,1951,M
Kulwant Singh,India,Athletics,800 m,Single,0,1,0,1951,M
Susumu Takahashi,Japan,Athletics,1500 m,Single,0,1,0,1951,M
Pritam Singh,India,Athletics,5000 m,Single,0,1,0,1951,M
Ryosuke Takasugi,Japan,Athletics,"10,000 m",Single,0,1,0,1951,M
Michitaka Kinami,Japan,Athletics,110 m hurdles,Single,0,1,0,1951,M
Teja Singh,India,Athletics,400 m hurdles,Single,0,1,0,1951,M
Ali Baghbanbashi,Iran,Athletics,3000 m steeplechase,Single,0,1,0,1951,M
Lavy Pinto,India,Athletics,4 × 100 m relay,Team,0,1,0,1951,M
M. Gabriel,India,Athletics,4 × 100 m relay,Team,0,1,0,1951,M
Ram Swaroop,India,Athletics,4 × 100 m relay,Team,0,1,0,1951,M
Alfred Shamin,India,Athletics,4 × 100 m relay,Team,0,1,0,1951,M
Yorio Mizuyoke,Japan,Athletics,4 × 400 m relay,Team,0,1,0,1951,M
Ichiro Tao,Japan,Athletics,4 × 400 m relay,Team,0,1,0,1951,M
Fumio Nishiuchi,Japan,Athletics,4 × 400 m relay,Team,0,1,0,1951,M
Eitaro Okano,Japan,Athletics,4 × 400 m relay,Team,0,1,0,1951,M
Katsuo Nishida,Japan,Athletics,Marathon,Single,0,1,0,1951,M
Takeo Sato,Japan,Athletics,"10,000 m walk",Single,0,1,0,1951,M
B. Das,India,Athletics,50 km walk,Single,0,1,0,1951,M
Yukio Ishikawa,Japan,Athletics,High jump,Single,0,1,0,1951,M
M. A. Akbar,Ceylon,Athletics,Pole vault,Single,0,1,0,1951,M
Baldev Singh,India,Athletics,Long jump,Single,0,1,0,1951,M
Takashi Aso,Japan,Athletics,Triple jump,Single,0,1,0,1951,M
Sukeo Denda,Japan,Athletics,Shot put,Single,0,1,0,1951,M
Norimi Sato,Japan,Athletics,Discus throw,Single,0,1,0,1951,M
