Year,Gold,Silver,Bronze,Total
1952,149.0,151.0,157.0,457.0
1956,153.0,153.0,161.0,467.0
1960,152.0,149.0,160.0,461.0
1964,163.0,166.0,172.0,501.0
1968,174.0,170.0,183.0,527.0
1972,195.0,195.0,210.0,600.0
1976,198.0,199.0,216.0,613.0
1980,204.0,204.0,223.0,631.0
1984,224.0,218.0,243.0,685.0
1988,240.0,234.0,264.0,738.0
1992,260.0,257.0,296.0,813.0
1996,271.0,273.0,297.0,841.0
2000,299.0,300.0,326.0,925.0
2004,301.0,300.0,326.0,927.0
2008,302.0,302.0,353.0,957.0
2012,302.0,304.0,356.0,962.0
2016,307.0,306.0,360.0,973.0
2020,340.0,338.0,402.0,1080.0
