Name,Sex,Country,NOC,Games,Year,Host_City,Sport,Event,Gold,Silver,Bronze,Type_Sport
Takashi Ono,M,Japan,JPN,1952 Summer,1952,Helsinki,Gymnastics,Gymnastics Men's Horse Vault,0,0,1,Team
Dharam Singh Gill,M,India,IND,1952 Summer,1952,Helsinki,Hockey,Hockey Men's Hockey,1,0,0,Team
Randhir Singh Gentle,M,India,IND,1952 Summer,1952,Helsinki,Hockey,Hockey Men's Hockey,1,0,0,Team
Chinadorai Deshmutu,M,India,IND,1952 Summer,1952,Helsinki,Hockey,Hockey Men's Hockey,1,0,0,Team
Shiro Hashizume,M,Japan,JPN,1952 Summer,1952,Helsinki,Swimming,"Swimming Men's 1,500 metres Freestyle",0,1,0,Individual
Keshav Chandra Dutt,M,India,IND,1952 Summer,1952,Helsinki,Hockey,Hockey Men's Hockey,1,0,0,Team
Hiroshi Suzuki,M,Japan,JPN,1952 Summer,1952,Helsinki,Swimming,Swimming Men's 100 metres Freestyle,0,1,0,Individual
Kim Seong-Jip,M,South Korea,KOR,1952 Summer,1952,Helsinki,Weightlifting,Weightlifting Men's Middleweight,0,0,1,Individual
Tofigh Jahanbakht,M,Iran,IRI,1952 Summer,1952,Helsinki,Wrestling,"Wrestling Men's Lightweight, Freestyle",0,0,1,Individual
Khashaba Dadasaheb  Jahdav,M,India,IND,1952 Summer,1952,Helsinki,Wrestling,"Wrestling Men's Bantamweight, Freestyle",0,0,1,Individual
Nasser Givehchi,M,Iran,IRI,1952 Summer,1952,Helsinki,Wrestling,"Wrestling Men's Featherweight, Freestyle",0,1,0,Individual
Meldric St. Clair daLuz Vieira,M,India,IND,1952 Summer,1952,Helsinki,Hockey,Hockey Men's Hockey,1,0,0,Team
"Balbir Singh Dosanjh, Sr.",M,India,IND,1952 Summer,1952,Helsinki,Hockey,Hockey Men's Hockey,1,0,0,Team
Raghbir Lal Sharma,M,India,IND,1952 Summer,1952,Helsinki,Hockey,Hockey Men's Hockey,1,0,0,Team
Sayed Abdollah Mojtabavi,M,Iran,IRI,1952 Summer,1952,Helsinki,Wrestling,"Wrestling Men's Welterweight, Freestyle",0,0,1,Individual
Kunwar Digvijay Singh,M,India,IND,1952 Summer,1952,Helsinki,Hockey,Hockey Men's Hockey,1,0,0,Team
Leslie Walter Claudius,M,India,IND,1952 Summer,1952,Helsinki,Hockey,Hockey Men's Hockey,1,0,0,Team
Masao Takemoto,M,Japan,JPN,1952 Summer,1952,Helsinki,Gymnastics,Gymnastics Men's Horse Vault,0,1,0,Individual
Muniswamy Rajagopal,M,India,IND,1952 Summer,1952,Helsinki,Hockey,Hockey Men's Hockey,1,0,0,Team
